Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,Value
2018,A,0,_X,A,N,EG_ACS_ELEC,93,,PT,99.8
2010,A,0,_X,A,N,EG_ACS_ELEC,94,,PT,94.1
2012,A,0,_X,A,N,EG_ACS_ELEC,94,,PT,96.2
2014,A,0,_X,A,N,EG_ACS_ELEC,94,,PT,98.3
2016,A,0,_X,A,N,EG_ACS_ELEC,94,,PT,99.3
2018,A,0,_X,A,N,EG_ACS_ELEC,94,,PT,99.4
2010,A,0,_X,A,N,EG_ACS_ELEC,95,,PT,97.7
2012,A,0,_X,A,N,EG_ACS_ELEC,95,,PT,99.7
2014,A,0,_X,A,N,EG_ACS_ELEC,95,,PT,99.8
2016,A,0,_X,A,N,EG_ACS_ELEC,95,,PT,100
2018,A,0,_X,A,N,EG_ACS_ELEC,95,,PT,100
2010,A,0,_X,A,N,EG_ACS_ELEC,96,,PT,97.8
2012,A,0,_X,A,N,EG_ACS_ELEC,96,,PT,99
2014,A,0,_X,A,N,EG_ACS_ELEC,96,,PT,99.7
2016,A,0,_X,A,N,EG_ACS_ELEC,96,,PT,99.7
2018,A,0,_X,A,N,EG_ACS_ELEC,96,,PT,99.9
